age,annual_income,loan_amount,credit_history_years,existing_loans,credit_score,debt_to_income_ratio,employment_type,late_payments_last_year,defaulted
58,355558.0,274945.0,3,4,719.0,0.543,Salaried,2,1
57,595300.0,178484.0,15,1,821.0,0.103,Self-Employed,2,0
27,341481.0,176749.0,16,3,662.0,0.414,Business Owner,1,1
54,420376.0,75225.0,6,3,819.0,0.307,Salaried,0,0
48,464324.0,434141.0,20,3,714.0,0.371,Salaried,2,0
29,746639.0,267231.0,17,2,714.0,0.15,Salaried,1,0
39,535060.0,406956.0,12,4,717.0,0.39,Business Owner,1,0
33,567903.0,423481.0,22,2,481.0,0.23,Salaried,0,1
44,891771.0,224409.0,22,2,562.0,0.12,Salaried,0,0
26,529327.0,263648.0,2,1,551.0,0.135,Self-Employed,0,0
42,731833.0,247608.0,17,0,687.0,0.041,Business Owner,1,1
26,367395.0,453439.0,21,4,663.0,0.584,Salaried,0,0
26,672412.0,319142.0,12,1,746.0,0.116,Business Owner,1,0
58,626293.0,324748.0,9,2,709.0,0.19,Self-Employed,1,1
43,638575.0,407608.0,24,1,780.0,0.139,Business Owner,0,0
33,497397.0,288161.0,0,1,624.0,0.15,Salaried,1,1
58,373268.0,606147.0,13,0,709.0,0.195,Self-Employed,0,0
35,534104.0,160376.0,8,3,640.0,0.261,Salaried,0,0
28,497046.0,487733.0,3,1,587.0,0.198,Self-Employed,1,1
60,827343.0,510338.0,17,2,538.0,0.171,Salaried,1,1
21,799724.0,128395.0,5,0,672.0,0.019,Salaried,1,0
62,335533.0,429150.0,14,3,606.0,0.511,Business Owner,0,1
23,738011.0,341898.0,20,0,637.0,0.056,Salaried,1,0
56,494459.0,430443.0,14,3,602.0,0.347,Salaried,1,1
41,700962.0,119626.0,21,2,591.0,0.135,Salaried,0,0
26,494057.0,336442.0,0,4,900.0,0.406,Business Owner,2,0
63,276211.0,152934.0,9,0,683.0,0.066,Self-Employed,0,0
39,823579.0,250230.0,16,1,574.0,0.085,Salaried,1,0
22,699505.0,512969.0,9,4,663.0,0.317,Self-Employed,0,1
52,330349.0,279758.0,17,2,681.0,0.344,Self-Employed,2,1
64,183889.0,20000.0,5,0,561.0,0.013,Self-Employed,2,1
27,482471.0,90162.0,13,3,764.0,0.271,Self-Employed,0,0
44,339994.0,128994.0,21,0,604.0,0.046,Salaried,0,0
61,519939.0,452359.0,6,2,720.0,0.258,Salaried,0,0
26,736461.0,195325.0,24,2,641.0,0.14,Business Owner,0,0
55,923199.0,66429.0,16,0,613.0,0.009,Salaried,1,0
39,521504.0,467499.0,23,4,900.0,0.414,Salaried,0,0
23,903018.0,337580.0,16,2,628.0,0.133,Salaried,2,1
30,856156.0,351346.0,11,3,554.0,0.189,Salaried,0,0
58,504428.0,180157.0,20,3,635.0,0.281,Salaried,1,1
52,233255.0,514134.0,22,4,597.0,0.95,Salaried,0,1
59,787790.0,281576.0,2,4,764.0,0.246,Business Owner,2,0
44,734290.0,20000.0,5,2,712.0,0.112,Business Owner,0,0
26,1118083.0,129307.0,14,1,581.0,0.05,Business Owner,0,1
33,914991.0,173621.0,1,1,819.0,0.066,Business Owner,0,0
34,772558.0,275836.0,22,4,658.0,0.25,Salaried,0,0
32,971959.0,414683.0,14,0,571.0,0.051,Business Owner,0,0
24,370040.0,190942.0,14,3,764.0,0.386,Salaried,1,0
59,643340.0,209869.0,8,4,729.0,0.288,Salaried,1,1
25,540698.0,630643.0,24,4,594.0,0.436,Salaried,1,0
54,984272.0,312396.0,12,2,585.0,0.119,Salaried,1,0
52,725359.0,220683.0,1,1,663.0,0.092,Business Owner,2,1
40,150000.0,304944.0,1,4,622.0,1.311,Business Owner,0,1
48,902776.0,112183.0,4,3,720.0,0.148,Salaried,1,0
38,401934.0,380253.0,4,4,699.0,0.512,Self-Employed,0,1
44,772664.0,445242.0,20,2,580.0,0.173,Self-Employed,0,0
53,496513.0,212640.0,12,3,588.0,0.293,Business Owner,0,1
41,655928.0,450210.0,9,1,656.0,0.143,Self-Employed,0,0
63,742091.0,256392.0,12,3,781.0,0.203,Salaried,1,0
57,645188.0,343231.0,0,4,624.0,0.312,Salaried,4,1
24,392760.0,188762.0,17,0,724.0,0.058,Business Owner,2,0
60,910635.0,179878.0,23,3,624.0,0.155,Salaried,1,0
27,690292.0,75109.0,18,4,711.0,0.245,Business Owner,0,0
30,599379.0,332951.0,14,2,630.0,0.2,Salaried,0,1
36,758545.0,257376.0,9,4,710.0,0.252,Salaried,1,0
56,485524.0,261972.0,5,1,603.0,0.147,Business Owner,0,0
43,1018349.0,130664.0,11,2,615.0,0.094,Business Owner,0,0
54,653022.0,124795.0,23,4,832.0,0.268,Salaried,0,0
24,684075.0,205163.0,7,2,750.0,0.153,Salaried,0,0
53,680103.0,370430.0,1,2,574.0,0.183,Salaried,1,1
23,403008.0,345163.0,3,2,770.0,0.301,Salaried,0,0
31,345516.0,197635.0,21,3,661.0,0.416,Self-Employed,0,1
30,651730.0,344054.0,10,2,785.0,0.186,Business Owner,0,0
57,681548.0,563650.0,23,0,566.0,0.099,Salaried,2,1
37,900208.0,315868.0,14,0,667.0,0.042,Salaried,0,0
54,703413.0,603273.0,15,1,640.0,0.16,Salaried,1,1
53,364533.0,365022.0,24,4,618.0,0.559,Business Owner,0,1
51,719995.0,499685.0,22,1,580.0,0.139,Salaried,0,0
47,786260.0,220682.0,18,1,832.0,0.085,Salaried,0,0
59,824923.0,476057.0,0,2,674.0,0.166,Salaried,0,0
22,677663.0,122305.0,20,0,649.0,0.022,Salaried,1,0
50,335497.0,336459.0,24,1,541.0,0.24,Salaried,2,1
22,859755.0,249750.0,20,2,766.0,0.128,Salaried,0,0
48,443218.0,20000.0,8,1,766.0,0.096,Business Owner,0,0
40,730472.0,95249.0,23,0,662.0,0.016,Self-Employed,2,0
63,258174.0,469703.0,20,2,564.0,0.528,Self-Employed,0,1
59,772464.0,373448.0,22,4,722.0,0.265,Salaried,1,0
23,431517.0,494156.0,7,1,676.0,0.23,Salaried,0,1
61,842343.0,329194.0,4,4,558.0,0.237,Salaried,1,1
28,992285.0,20000.0,4,2,845.0,0.083,Salaried,0,0
37,861458.0,337314.0,7,3,735.0,0.186,Business Owner,0,0
44,347130.0,214336.0,16,4,596.0,0.535,Salaried,0,0
60,396319.0,224163.0,6,0,610.0,0.068,Salaried,0,1
36,412427.0,232219.0,5,1,740.0,0.165,Salaried,0,0
61,749696.0,184692.0,20,4,773.0,0.243,Self-Employed,0,0
34,679906.0,155639.0,17,3,725.0,0.204,Salaried,0,0
38,638694.0,485849.0,12,0,719.0,0.091,Salaried,0,0
61,671855.0,366509.0,24,4,647.0,0.304,Salaried,1,0
53,731296.0,201463.0,23,3,846.0,0.197,Self-Employed,0,0
50,747005.0,236129.0,21,0,656.0,0.038,Salaried,0,0
37,975371.0,445502.0,14,0,697.0,0.055,Self-Employed,0,0
21,591210.0,356530.0,1,3,710.0,0.275,Self-Employed,3,1
27,648223.0,328616.0,0,3,656.0,0.246,Business Owner,1,1
34,195006.0,115365.0,16,4,742.0,0.891,Salaried,0,1
46,311944.0,234097.0,6,3,805.0,0.475,Salaried,1,0
59,450486.0,128919.0,11,1,499.0,0.123,Business Owner,0,1
24,341910.0,20000.0,10,1,663.0,0.124,Self-Employed,1,1
23,651295.0,433229.0,4,4,782.0,0.325,Self-Employed,0,0
50,831650.0,249830.0,3,1,794.0,0.084,Salaried,0,0
31,506581.0,237165.0,24,1,642.0,0.135,Business Owner,1,1
56,495405.0,154902.0,14,4,735.0,0.36,Salaried,1,1
46,489460.0,412454.0,23,3,696.0,0.346,Self-Employed,1,1
61,630668.0,612790.0,1,4,692.0,0.37,Self-Employed,0,0
40,481850.0,386594.0,11,2,629.0,0.262,Salaried,0,1
40,695467.0,438268.0,6,0,762.0,0.076,Business Owner,0,1
55,667662.0,112015.0,6,2,778.0,0.14,Salaried,2,0
26,677080.0,325200.0,0,4,810.0,0.294,Self-Employed,1,0
30,769270.0,331577.0,1,2,702.0,0.156,Salaried,3,0
60,607939.0,522308.0,2,2,692.0,0.235,Salaried,0,0
27,632522.0,300190.0,22,4,773.0,0.31,Self-Employed,0,1
59,987861.0,157195.0,17,1,900.0,0.06,Salaried,0,0
51,590573.0,288792.0,7,2,663.0,0.194,Salaried,0,1
63,776078.0,233521.0,12,2,675.0,0.139,Salaried,0,0
32,612255.0,515589.0,23,0,825.0,0.101,Self-Employed,1,0
47,499419.0,398412.0,23,0,590.0,0.096,Business Owner,1,1
22,499502.0,349825.0,15,3,476.0,0.324,Business Owner,0,0
50,419512.0,325545.0,3,2,762.0,0.284,Salaried,1,0
23,602497.0,425161.0,1,0,795.0,0.085,Self-Employed,1,0
37,466943.0,224924.0,4,3,790.0,0.315,Salaried,0,0
35,506709.0,160761.0,23,0,764.0,0.038,Self-Employed,1,0
29,868038.0,20000.0,1,2,772.0,0.095,Business Owner,0,0
44,570371.0,476405.0,2,1,627.0,0.17,Salaried,0,0
33,850568.0,374253.0,4,0,768.0,0.053,Salaried,1,0
24,658119.0,394624.0,4,1,602.0,0.133,Self-Employed,0,1
52,789302.0,304575.0,7,3,556.0,0.198,Business Owner,0,0
29,465239.0,547508.0,6,4,665.0,0.485,Self-Employed,1,1
35,631977.0,150891.0,10,2,578.0,0.155,Self-Employed,0,0
35,1179356.0,478618.0,16,3,593.0,0.15,Salaried,0,1
51,781487.0,171433.0,6,0,630.0,0.026,Salaried,0,0
52,820128.0,230070.0,15,3,648.0,0.18,Salaried,0,0
43,650614.0,115285.0,4,4,694.0,0.267,Self-Employed,3,0
24,787852.0,311267.0,0,1,599.0,0.098,Salaried,0,0
40,343434.0,254121.0,9,3,633.0,0.438,Salaried,2,1
52,411799.0,362245.0,23,1,669.0,0.203,Business Owner,1,1
63,693272.0,209572.0,1,0,694.0,0.036,Salaried,1,0
63,779266.0,88416.0,6,1,720.0,0.065,Salaried,1,0
28,508533.0,382366.0,20,2,744.0,0.248,Salaried,4,1
31,557392.0,490288.0,17,1,700.0,0.177,Salaried,0,0
42,518942.0,407536.0,14,3,718.0,0.325,Self-Employed,2,0
32,557088.0,288890.0,11,2,736.0,0.206,Salaried,1,0
28,334162.0,357589.0,12,3,680.0,0.488,Salaried,0,1
30,282890.0,42087.0,22,1,696.0,0.159,Self-Employed,0,0
62,579956.0,246645.0,11,1,608.0,0.12,Salaried,1,1
52,215487.0,470844.0,8,1,700.0,0.448,Self-Employed,0,1
42,382331.0,365685.0,13,3,761.0,0.429,Salaried,1,1
45,452181.0,168531.0,21,0,628.0,0.045,Salaried,0,0
35,365600.0,425047.0,24,2,788.0,0.358,Salaried,0,0
45,649410.0,276700.0,9,3,640.0,0.236,Salaried,0,0
28,498627.0,406170.0,9,0,769.0,0.098,Salaried,0,0
23,578717.0,85327.0,9,1,817.0,0.087,Salaried,0,0
47,373990.0,217498.0,14,0,700.0,0.07,Self-Employed,0,0
45,432720.0,345267.0,9,0,650.0,0.096,Salaried,0,0
38,708440.0,341922.0,5,4,718.0,0.284,Self-Employed,1,0
41,675374.0,379539.0,22,4,649.0,0.304,Salaried,0,1
26,492929.0,294894.0,9,1,608.0,0.153,Salaried,2,0
58,675077.0,266780.0,1,2,766.0,0.166,Salaried,0,0
22,636100.0,367239.0,2,2,526.0,0.195,Salaried,0,1
42,629684.0,426148.0,20,4,755.0,0.335,Salaried,0,0
38,945259.0,69420.0,21,1,618.0,0.051,Salaried,0,1
55,506042.0,248370.0,19,2,757.0,0.217,Salaried,2,0
46,686313.0,266057.0,17,1,640.0,0.105,Business Owner,0,0
29,686595.0,320268.0,10,2,829.0,0.172,Salaried,1,0
43,542207.0,448305.0,19,1,641.0,0.173,Salaried,0,0
47,337262.0,97563.0,18,4,499.0,0.509,Business Owner,1,1
60,745333.0,376464.0,19,0,900.0,0.061,Self-Employed,0,0
43,650741.0,37272.0,9,3,684.0,0.191,Self-Employed,0,0
61,603827.0,183726.0,3,0,671.0,0.037,Salaried,0,1
35,597795.0,218494.0,23,2,680.0,0.178,Salaried,2,0
62,597117.0,256163.0,15,0,655.0,0.051,Salaried,1,0
62,395495.0,205022.0,5,4,705.0,0.467,Salaried,0,1
56,656181.0,219736.0,3,3,619.0,0.223,Salaried,0,0
58,194975.0,245603.0,17,2,858.0,0.561,Salaried,1,0
42,585598.0,256203.0,15,1,624.0,0.121,Salaried,0,0
62,261873.0,20800.0,20,3,733.0,0.468,Salaried,1,0
44,513310.0,87087.0,3,2,790.0,0.176,Salaried,1,0
47,747861.0,231306.0,18,3,663.0,0.198,Self-Employed,0,0
38,533196.0,375675.0,3,3,751.0,0.31,Salaried,0,0
46,484464.0,446793.0,20,2,637.0,0.276,Salaried,1,0
38,702736.0,723248.0,3,2,600.0,0.237,Salaried,1,1
46,530274.0,312888.0,15,3,616.0,0.297,Business Owner,0,0
22,499574.0,179157.0,13,4,769.0,0.363,Salaried,0,1
23,502598.0,323425.0,2,3,766.0,0.316,Salaried,1,1
56,921554.0,398585.0,2,3,607.0,0.182,Salaried,0,1
58,734906.0,317561.0,3,0,763.0,0.052,Salaried,0,0
31,694375.0,138464.0,9,4,607.0,0.254,Salaried,0,0
21,326586.0,281789.0,22,4,695.0,0.593,Salaried,0,0
22,724441.0,290669.0,10,1,737.0,0.103,Salaried,0,0
55,303593.0,86516.0,5,2,513.0,0.298,Salaried,0,1
41,693322.0,116528.0,24,4,731.0,0.251,Business Owner,1,0
32,342199.0,476027.0,16,3,656.0,0.518,Salaried,0,1
52,1017033.0,20000.0,19,4,560.0,0.16,Self-Employed,0,0
43,216918.0,322117.0,11,3,735.0,0.731,Salaried,1,0
40,855986.0,258052.0,14,3,703.0,0.176,Business Owner,0,0
25,763303.0,504059.0,4,3,709.0,0.236,Business Owner,2,0
37,196428.0,388056.0,18,4,657.0,1.052,Salaried,0,1
54,533929.0,167983.0,16,3,625.0,0.263,Salaried,0,0
49,904528.0,484970.0,0,0,572.0,0.064,Salaried,1,0
41,836634.0,213283.0,13,4,660.0,0.222,Self-Employed,0,1
28,221826.0,594017.0,9,4,594.0,1.043,Salaried,0,1
49,472191.0,544127.0,8,2,643.0,0.308,Salaried,0,1
21,328341.0,285199.0,7,0,712.0,0.104,Salaried,1,0
64,361043.0,412538.0,21,3,743.0,0.469,Self-Employed,0,1
47,445128.0,324654.0,16,3,713.0,0.357,Salaried,0,0
52,991353.0,162677.0,1,2,702.0,0.1,Salaried,3,1
44,615551.0,455945.0,3,0,656.0,0.089,Self-Employed,1,0
36,536472.0,360920.0,17,1,755.0,0.155,Self-Employed,0,0
59,512463.0,424338.0,23,3,774.0,0.334,Self-Employed,0,0
21,732574.0,457206.0,16,0,639.0,0.075,Self-Employed,2,0
39,738011.0,508625.0,8,2,643.0,0.191,Business Owner,0,0
53,383762.0,452437.0,16,3,599.0,0.454,Salaried,0,1
55,908704.0,284938.0,21,2,654.0,0.126,Self-Employed,2,0
31,347697.0,311382.0,9,4,643.0,0.568,Business Owner,2,1
21,524902.0,359953.0,21,1,837.0,0.158,Self-Employed,2,0
64,684930.0,280620.0,22,3,789.0,0.224,Business Owner,1,0
22,962109.0,263533.0,11,2,569.0,0.116,Business Owner,0,0
56,509623.0,575869.0,10,1,741.0,0.214,Salaried,0,0
47,648647.0,371750.0,0,1,659.0,0.13,Salaried,0,1
21,872250.0,581070.0,24,3,537.0,0.218,Salaried,1,0
30,722829.0,184535.0,2,1,699.0,0.086,Salaried,0,0
29,833659.0,292962.0,9,4,623.0,0.234,Salaried,0,0
23,814094.0,234462.0,9,4,703.0,0.231,Salaried,1,0
47,642862.0,241159.0,8,4,721.0,0.294,Business Owner,1,1
26,724452.0,256222.0,18,1,626.0,0.098,Business Owner,0,0
35,787326.0,280989.0,4,4,800.0,0.246,Self-Employed,1,0
37,579573.0,234655.0,11,4,689.0,0.325,Business Owner,1,0
22,937274.0,567439.0,7,2,615.0,0.158,Salaried,0,0
35,150000.0,399915.0,23,2,546.0,0.853,Salaried,0,1
47,383164.0,188779.0,13,2,859.0,0.268,Business Owner,0,0
45,903309.0,218413.0,22,4,613.0,0.206,Business Owner,1,1
44,679638.0,410246.0,24,2,683.0,0.19,Salaried,0,0
60,444051.0,380457.0,8,3,701.0,0.373,Self-Employed,1,0
29,668911.0,208955.0,11,3,750.0,0.217,Salaried,2,0
37,824809.0,436968.0,24,4,569.0,0.258,Business Owner,1,1
50,462829.0,86835.0,14,0,480.0,0.023,Salaried,0,1
29,754736.0,229472.0,13,3,686.0,0.195,Salaried,1,0
34,558963.0,556207.0,20,3,557.0,0.334,Business Owner,0,1
46,560905.0,20000.0,1,3,655.0,0.218,Salaried,0,0
52,570649.0,269440.0,20,0,845.0,0.057,Salaried,1,0
21,830412.0,446458.0,0,4,629.0,0.257,Business Owner,1,1
38,339626.0,278208.0,23,1,732.0,0.216,Salaried,1,1
37,505102.0,183739.0,9,3,587.0,0.281,Salaried,1,1
35,731696.0,167571.0,14,4,900.0,0.246,Self-Employed,2,0
34,317816.0,20000.0,10,4,646.0,0.511,Salaried,0,1
58,238228.0,102829.0,5,4,709.0,0.723,Salaried,0,1
38,711164.0,309573.0,4,3,666.0,0.221,Salaried,0,0
47,586357.0,215193.0,15,2,628.0,0.18,Business Owner,1,1
23,553658.0,297879.0,22,2,764.0,0.209,Business Owner,0,0
54,617351.0,277550.0,13,4,658.0,0.313,Business Owner,1,0
45,372192.0,342075.0,7,1,602.0,0.218,Business Owner,0,0
37,1226819.0,53193.0,11,1,633.0,0.038,Salaried,0,0
48,369573.0,254017.0,19,1,651.0,0.191,Self-Employed,0,0
54,490300.0,249467.0,14,4,683.0,0.387,Self-Employed,2,0
53,273337.0,253517.0,5,4,687.0,0.697,Salaried,1,1
58,494583.0,167846.0,3,4,609.0,0.364,Salaried,0,0
63,921826.0,20000.0,10,1,634.0,0.046,Self-Employed,1,0
54,590229.0,393457.0,1,3,843.0,0.283,Salaried,1,0
36,716920.0,420681.0,9,1,653.0,0.126,Business Owner,0,1
54,479719.0,651742.0,12,1,785.0,0.246,Business Owner,0,0
49,984933.0,408182.0,19,4,638.0,0.212,Salaried,0,1
35,622119.0,543692.0,2,1,703.0,0.169,Salaried,0,0
40,311443.0,388188.0,9,3,622.0,0.535,Salaried,0,1
21,755461.0,243359.0,13,2,512.0,0.145,Salaried,2,1
30,504753.0,373418.0,5,1,628.0,0.168,Salaried,1,1
26,719595.0,126493.0,16,2,744.0,0.132,Salaried,1,0
60,616679.0,335853.0,20,3,775.0,0.26,Self-Employed,0,0
61,644024.0,283609.0,12,4,759.0,0.301,Self-Employed,0,0
53,616104.0,143149.0,16,2,627.0,0.158,Self-Employed,0,1
33,386850.0,481314.0,16,4,645.0,0.563,Salaried,0,1
62,255571.0,465954.0,4,0,578.0,0.219,Business Owner,2,0
31,800694.0,368506.0,13,3,693.0,0.205,Salaried,0,1
57,556194.0,421105.0,5,4,737.0,0.379,Salaried,0,1
54,648824.0,544573.0,21,1,689.0,0.162,Business Owner,0,0
61,483926.0,280298.0,2,0,610.0,0.07,Salaried,0,0
53,150000.0,99252.0,19,4,703.0,1.146,Business Owner,0,1
26,305023.0,158668.0,20,4,679.0,0.587,Salaried,1,1
21,892886.0,403772.0,21,4,710.0,0.233,Business Owner,0,1
21,413129.0,334398.0,10,2,656.0,0.291,Self-Employed,1,0
63,501672.0,79499.0,17,0,687.0,0.019,Salaried,0,0
29,263027.0,496665.0,20,2,612.0,0.531,Self-Employed,1,1
58,469689.0,332330.0,19,3,603.0,0.34,Salaried,0,0
39,503756.0,540278.0,14,2,465.0,0.288,Salaried,1,0
58,536904.0,468442.0,24,1,689.0,0.179,Salaried,2,0
51,569377.0,236102.0,19,2,685.0,0.19,Self-Employed,1,0
23,446601.0,315028.0,20,3,593.0,0.353,Salaried,1,1
40,459103.0,191746.0,18,4,797.0,0.399,Salaried,0,0
50,582370.0,176108.0,19,1,771.0,0.105,Business Owner,0,0
43,656346.0,256808.0,11,1,812.0,0.108,Salaried,1,0
27,554025.0,375589.0,1,4,663.0,0.37,Salaried,0,0
54,968600.0,504833.0,6,4,652.0,0.228,Salaried,0,0
51,630368.0,168892.0,7,4,700.0,0.286,Business Owner,1,1
24,620581.0,405844.0,9,2,749.0,0.207,Salaried,0,0
29,440755.0,307563.0,24,2,797.0,0.265,Business Owner,0,0
50,810959.0,269229.0,13,4,596.0,0.237,Business Owner,1,0
26,359760.0,469985.0,10,3,661.0,0.49,Self-Employed,0,0
23,228903.0,249554.0,24,0,509.0,0.131,Salaried,0,1
37,370266.0,507513.0,20,4,653.0,0.597,Salaried,0,0
31,720947.0,253235.0,7,0,749.0,0.042,Salaried,1,0
36,332922.0,165781.0,19,0,731.0,0.06,Salaried,1,0
52,869293.0,417292.0,18,1,867.0,0.104,Salaried,1,0
31,579612.0,86379.0,18,4,731.0,0.294,Salaried,0,0
51,251011.0,126949.0,6,4,641.0,0.698,Salaried,1,1
46,534118.0,275820.0,19,0,614.0,0.062,Salaried,2,1
38,976829.0,304066.0,15,2,697.0,0.119,Salaried,0,0
25,395230.0,263809.0,6,1,810.0,0.181,Self-Employed,0,0
33,296254.0,20000.0,18,3,573.0,0.413,Business Owner,0,1
37,697092.0,105058.0,3,1,597.0,0.075,Salaried,0,0
57,871715.0,380369.0,0,3,682.0,0.19,Salaried,0,0
21,807900.0,384551.0,8,4,648.0,0.255,Salaried,2,0
33,512016.0,153832.0,18,0,748.0,0.036,Business Owner,0,0
53,625549.0,344060.0,23,4,638.0,0.322,Business Owner,0,0
22,655770.0,335125.0,21,2,679.0,0.183,Salaried,1,0
46,842546.0,455982.0,24,4,675.0,0.255,Business Owner,0,0
31,1056959.0,195326.0,22,0,693.0,0.022,Business Owner,1,0
41,560545.0,521935.0,8,3,787.0,0.326,Business Owner,0,0
21,870090.0,259509.0,21,2,570.0,0.128,Salaried,2,0
31,508576.0,520005.0,3,0,534.0,0.123,Salaried,1,0
56,713828.0,442792.0,9,0,554.0,0.074,Self-Employed,0,1
63,378944.0,154220.0,10,0,652.0,0.049,Salaried,0,0
26,416160.0,258709.0,3,3,685.0,0.363,Salaried,0,0
60,675589.0,347702.0,1,3,719.0,0.239,Salaried,0,0
63,386957.0,456663.0,8,2,701.0,0.348,Salaried,0,0
49,779389.0,98589.0,24,4,686.0,0.22,Business Owner,0,0
30,463103.0,230621.0,22,2,530.0,0.233,Salaried,0,1
49,601285.0,398024.0,1,4,622.0,0.346,Salaried,1,0
34,565863.0,376560.0,16,2,711.0,0.221,Salaried,0,1
35,510892.0,148326.0,22,0,574.0,0.035,Self-Employed,0,0
46,613050.0,171157.0,12,2,636.0,0.164,Self-Employed,1,0
27,821673.0,369198.0,24,0,640.0,0.054,Self-Employed,0,0
34,1267389.0,152281.0,0,2,715.0,0.078,Salaried,0,0
62,323136.0,339789.0,19,0,604.0,0.126,Business Owner,1,0
37,650272.0,441788.0,1,1,539.0,0.143,Self-Employed,1,1
48,545628.0,307410.0,22,1,645.0,0.141,Salaried,0,1
25,383326.0,20000.0,13,4,652.0,0.424,Self-Employed,2,1
52,647242.0,480243.0,18,0,743.0,0.089,Self-Employed,0,0
38,390939.0,476862.0,21,2,626.0,0.351,Self-Employed,0,1
47,567057.0,516642.0,0,1,656.0,0.18,Salaried,0,0
22,856992.0,433316.0,15,0,633.0,0.061,Salaried,0,0
29,150000.0,53772.0,21,1,636.0,0.31,Salaried,3,1
30,638736.0,516552.0,9,1,844.0,0.16,Salaried,0,1
26,682535.0,356573.0,7,3,468.0,0.239,Business Owner,1,0
61,373634.0,445395.0,0,3,723.0,0.464,Salaried,1,1
43,699509.0,281455.0,2,3,610.0,0.22,Salaried,0,1
33,661598.0,268731.0,5,2,681.0,0.17,Business Owner,1,0
31,507489.0,269886.0,19,2,550.0,0.221,Business Owner,2,0
32,850902.0,543542.0,15,2,691.0,0.171,Salaried,1,0
31,296639.0,346124.0,0,2,609.0,0.41,Salaried,1,1
50,725739.0,274857.0,7,2,721.0,0.156,Self-Employed,1,0
44,532871.0,113904.0,22,2,786.0,0.176,Self-Employed,1,0
59,351850.0,375435.0,13,3,573.0,0.469,Salaried,0,1
57,545189.0,306937.0,17,1,544.0,0.141,Self-Employed,0,1
34,507410.0,328554.0,1,4,769.0,0.393,Self-Employed,1,0
35,764386.0,452733.0,7,4,834.0,0.28,Salaried,1,0
37,255297.0,413370.0,13,0,676.0,0.194,Self-Employed,1,0
57,541418.0,305815.0,15,1,506.0,0.142,Business Owner,0,0
52,483987.0,337578.0,11,4,548.0,0.414,Business Owner,2,1
40,930243.0,318787.0,18,0,753.0,0.041,Self-Employed,0,0
55,338201.0,412550.0,0,2,818.0,0.383,Self-Employed,1,0
48,817034.0,408566.0,3,3,665.0,0.207,Business Owner,1,1
48,197635.0,326341.0,20,3,565.0,0.805,Salaried,2,0
53,659580.0,177349.0,2,3,769.0,0.214,Self-Employed,0,0
28,553809.0,431468.0,19,2,564.0,0.238,Salaried,1,0
49,666696.0,439900.0,4,2,619.0,0.199,Salaried,0,1
28,428774.0,145287.0,2,2,624.0,0.227,Salaried,2,1
25,154048.0,363174.0,10,1,623.0,0.543,Self-Employed,3,1
54,243115.0,247292.0,15,1,719.0,0.287,Salaried,1,0
22,871563.0,20000.0,5,4,596.0,0.186,Self-Employed,0,0
52,629516.0,298171.0,21,3,687.0,0.247,Salaried,1,0
30,392296.0,446791.0,15,3,764.0,0.443,Business Owner,0,0
60,780188.0,195365.0,12,2,764.0,0.133,Salaried,1,0
22,418126.0,198997.0,21,2,785.0,0.248,Self-Employed,0,0
55,419319.0,456893.0,18,3,645.0,0.417,Self-Employed,0,1
61,314864.0,139569.0,13,2,536.0,0.307,Salaried,0,0
39,840593.0,163268.0,3,0,691.0,0.023,Salaried,0,0
64,1013144.0,256346.0,1,2,694.0,0.109,Business Owner,0,1
26,369168.0,397004.0,1,0,699.0,0.129,Salaried,0,0
58,644701.0,397688.0,10,4,644.0,0.322,Self-Employed,4,1
60,795984.0,224856.0,5,1,713.0,0.084,Salaried,0,0
31,1046115.0,257496.0,7,1,592.0,0.068,Self-Employed,1,1
51,150000.0,316995.0,19,1,742.0,0.52,Salaried,0,0
53,611437.0,245436.0,20,1,820.0,0.114,Salaried,1,0
46,722201.0,174324.0,7,1,687.0,0.084,Business Owner,0,0
22,254549.0,140035.0,15,3,680.0,0.537,Salaried,0,1
51,669665.0,410018.0,21,2,728.0,0.193,Business Owner,2,1
24,623201.0,270620.0,14,3,721.0,0.245,Salaried,2,0
37,738809.0,731591.0,1,3,723.0,0.281,Salaried,0,0
32,451408.0,396681.0,6,2,693.0,0.283,Business Owner,0,0
36,671364.0,191005.0,12,4,653.0,0.272,Salaried,1,0
64,446226.0,303644.0,9,2,805.0,0.261,Salaried,1,0
46,712624.0,354409.0,10,4,579.0,0.284,Salaried,0,0
36,614063.0,362907.0,17,3,768.0,0.266,Self-Employed,0,1
42,496284.0,370061.0,20,3,607.0,0.331,Salaried,0,1
52,267719.0,371067.0,9,4,715.0,0.764,Salaried,0,1
52,941652.0,282667.0,16,4,599.0,0.206,Salaried,0,0
56,823050.0,400513.0,14,0,550.0,0.058,Business Owner,0,0
62,772611.0,630238.0,18,2,592.0,0.201,Business Owner,0,0
60,432851.0,237426.0,13,0,597.0,0.066,Self-Employed,2,0
58,501934.0,246282.0,15,3,785.0,0.298,Salaried,0,0
47,946453.0,409301.0,18,0,627.0,0.052,Business Owner,1,0
38,742818.0,489589.0,3,4,619.0,0.294,Business Owner,1,1
37,391697.0,425512.0,3,1,596.0,0.232,Self-Employed,0,0
37,589360.0,485184.0,19,3,673.0,0.302,Salaried,1,0
40,610355.0,295900.0,11,1,673.0,0.124,Salaried,0,0
61,535376.0,268785.0,17,2,721.0,0.21,Self-Employed,1,0
